"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;", , MISO_1V8, NSS_1V8, SCK_1V8";"";5;"";;;
2;"C1, C6, C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100nF";;;
3;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"47nF";;;
4;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
5;"C4, C5, C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
6;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
7;"C14, C15, C16, C17";"C_0805_2012Metric";4;"10uF";;;
8;"C18, C19, C44, C46";"C_1206_3216Metric";4;"22uF";;;
9;"C20, C43, C45, C47";"C_1206_3216Metric";4;"47uF";;;
10;"C41";"C_01005_0402Metric";1;"100nF";;;
11;"C42";"C_0201_0603Metric";1;"100nF";;;
12;"IC2";"RNF0026C";1;"LP87564WRNFTQ1";;;
13;"J1";"UJ3221CHGHMTLTP24TR";1;"UJ32-21-C-H-G-HMT-LT-P24-TR";;;
14;"L1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"2.2uH";;;
15;"L5, L6, L7, L8";"L_Vishay_IHLP-1616";4;"0.47uH";;;
16;"Q1, Q2";"SOT-23";2;"AO3400A";;;
17;"R1, R2, R3, R4, R5, R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
18;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.23k";;;
19;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"30.1k";;;
20;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"260";;;
21;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.2k";;;
22;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330";;;
23;"TH1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"Thermistor_NTC_10k";;;
24;"U1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G031F6Px";;;
25;"U2";"RTW0024H";1;"BQ25895RTW";;;
26;"U3";"WSON-6_1.5x1.5mm_P0.5mm";1;"BQ297xy";;;
27;"U4";"21-0168E_T822-3_MXM";1;"MAX17048G+T10";;;
28;"U5";"SOT-223-3_TabPin2";1;"AMS1117-1.8";;;
